
Epoch [151/200], Loss: 0.6505, Accuracy: 0.5951
Epoch [152/200], Loss: 0.7564, Accuracy: 0.5940
Epoch [153/200], Loss: 0.6791, Accuracy: 0.5931
Epoch [154/200], Loss: 0.6211, Accuracy: 0.5957
Epoch [155/200], Loss: 0.5972, Accuracy: 0.5960
Epoch [156/200], Loss: 0.6885, Accuracy: 0.5950
Epoch [157/200], Loss: 0.6478, Accuracy: 0.5959
Epoch [158/200], Loss: 0.6278, Accuracy: 0.5956
Epoch [159/200], Loss: 0.6530, Accuracy: 0.6001
Epoch [160/200], Loss: 0.6026, Accuracy: 0.5978
Epoch [161/200], Loss: 0.6941, Accuracy: 0.5985
Epoch [162/200], Loss: 0.6230, Accuracy: 0.5994
Epoch [163/200], Loss: 0.6446, Accuracy: 0.5990
Epoch [164/200], Loss: 0.6356, Accuracy: 0.5969
Epoch [165/200], Loss: 0.5570, Accuracy: 0.5969
Epoch [166/200], Loss: 0.5939, Accuracy: 0.6000
Epoch [167/200], Loss: 0.6764, Accuracy: 0.5987
Epoch [168/200], Loss: 0.6796, Accuracy: 0.6016
Epoch [169/200], Loss: 0.6149, Accuracy: 0.6018
Epoch [170/200], Loss: 0.5903, Accuracy: 0.5972
Epoch [171/200], Loss: 0.6678, Accuracy: 0.6022
Epoch [172/200], Loss: 0.6858, Accuracy: 0.5999
Epoch [173/200], Loss: 0.7035, Accuracy: 0.6026
Epoch [174/200], Loss: 0.7015, Accuracy: 0.6029
Epoch [175/200], Loss: 0.6648, Accuracy: 0.6027
Epoch [176/200], Loss: 0.6336, Accuracy: 0.6038
Epoch [177/200], Loss: 0.7041, Accuracy: 0.6042
Epoch [178/200], Loss: 0.6388, Accuracy: 0.6000
Epoch [179/200], Loss: 0.6652, Accuracy: 0.6026
Epoch [180/200], Loss: 0.6180, Accuracy: 0.6061
Epoch [181/200], Loss: 0.6296, Accuracy: 0.6047
Epoch [182/200], Loss: 0.6025, Accuracy: 0.6065
Epoch [183/200], Loss: 0.7637, Accuracy: 0.6021
Epoch [184/200], Loss: 0.5939, Accuracy: 0.6058
Epoch [185/200], Loss: 0.6537, Accuracy: 0.6074
Epoch [186/200], Loss: 0.6435, Accuracy: 0.6053
Epoch [187/200], Loss: 0.6379, Accuracy: 0.6079
Epoch [188/200], Loss: 0.6171, Accuracy: 0.6069
Epoch [189/200], Loss: 0.6572, Accuracy: 0.6056
Epoch [190/200], Loss: 0.6070, Accuracy: 0.6050
Epoch [191/200], Loss: 0.6318, Accuracy: 0.6079
Epoch [192/200], Loss: 0.5991, Accuracy: 0.6119
Epoch [193/200], Loss: 0.6456, Accuracy: 0.6088
Epoch [194/200], Loss: 0.6777, Accuracy: 0.6064
Epoch [195/200], Loss: 0.5981, Accuracy: 0.6110
Epoch [196/200], Loss: 0.7659, Accuracy: 0.6070
Epoch [197/200], Loss: 0.6127, Accuracy: 0.6090
Epoch [198/200], Loss: 0.6530, Accuracy: 0.6102
Epoch [199/200], Loss: 0.6046, Accuracy: 0.6114
Epoch [200/200], Loss: 0.6601, Accuracy: 0.6112
Test Accuracy: 0.5004643962848297
